Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
38494,UCBPlayer,130,275,405,25,40,UCBPlayer
38495,UCBPlayer,103,203,306,10,68,UCBPlayer
38496,UCBPlayer,128,283,411,25,38,UCBPlayer
38497,UCBPlayer,111,186,297,10,71,UCBPlayer
38498,UCBPlayer,124,299,423,25,34,UCBPlayer
38499,UCBPlayer,115,170,285,10,75,UCBPlayer
38500,UCBPlayer,120,315,435,25,30,UCBPlayer
38501,UCBPlayer,119,154,273,10,79,UCBPlayer
38502,UCBPlayer,112,332,444,25,27,UCBPlayer
38503,UCBPlayer,127,137,264,10,82,UCBPlayer
38504,UCBPlayer,104,349,453,25,24,UCBPlayer
38505,UCBPlayer,126,126,252,7,85,Tie
38506,UCBPlayer,111,351,462,28,22,UCBPlayer
38507,UCBPlayer,116,126,242,3,87,UCBPlayer
38508,UCBPlayer,122,347,469,32,21,UCBPlayer
38509,UCBPlayer,107,132,239,0,87,UCBPlayer
38510,UCBPlayer,132,337,469,35,22,UCBPlayer
38511,UCBPlayer,103,148,251,0,83,UCBPlayer
38512,UCBPlayer,136,321,457,35,26,UCBPlayer
38513,UCBPlayer,99,164,263,0,79,UCBPlayer
38514,UCBPlayer,140,305,445,35,30,UCBPlayer
38515,UCBPlayer,95,180,275,0,75,UCBPlayer
38516,UCBPlayer,144,289,433,35,34,UCBPlayer
38517,UCBPlayer,91,196,287,0,71,UCBPlayer
38518,UCBPlayer,148,273,421,35,38,UCBPlayer
38519,UCBPlayer,87,212,299,0,67,UCBPlayer
38520,UCBPlayer,152,257,409,35,42,UCBPlayer
38521,UCBPlayer,84,224,308,0,64,UCBPlayer
38522,UCBPlayer,146,251,397,32,45,UCBPlayer
38523,UCBPlayer,89,234,323,3,60,UCBPlayer
38524,UCBPlayer,138,243,381,28,49,UCBPlayer
38525,UCBPlayer,97,242,339,7,56,UCBPlayer
38526,UCBPlayer,130,235,365,24,53,UCBPlayer
38527,UCBPlayer,105,250,355,11,52,UCBPlayer
38528,UCBPlayer,122,227,349,20,57,UCBPlayer
38529,UCBPlayer,109,259,368,15,49,UCBPlayer
38530,UCBPlayer,118,218,336,16,60,UCBPlayer
38531,UCBPlayer,117,267,384,19,45,UCBPlayer
38532,UCBPlayer,110,210,320,12,64,UCBPlayer
38533,UCBPlayer,126,271,397,23,42,UCBPlayer
38534,UCBPlayer,105,210,315,10,65,UCBPlayer
38535,UCBPlayer,130,275,405,25,40,UCBPlayer
38536,UCBPlayer,105,210,315,10,65,UCBPlayer
38537,UCBPlayer,130,275,405,25,40,UCBPlayer
38538,UCBPlayer,106,206,312,10,66,UCBPlayer
38539,UCBPlayer,130,275,405,25,40,UCBPlayer
38540,UCBPlayer,105,210,315,10,65,UCBPlayer
38541,UCBPlayer,131,271,402,25,41,UCBPlayer
38542,UCBPlayer,105,210,315,10,65,UCBPlayer
38543,UCBPlayer,130,275,405,25,40,UCBPlayer
38544,UCBPlayer,105,210,315,10,65,UCBPlayer
38545,UCBPlayer,130,275,405,25,40,UCBPlayer
38546,UCBPlayer,103,203,306,10,68,UCBPlayer
38547,UCBPlayer,128,283,411,25,38,UCBPlayer
38548,UCBPlayer,111,186,297,10,71,UCBPlayer
38549,UCBPlayer,124,299,423,25,34,UCBPlayer
38550,UCBPlayer,115,170,285,10,75,UCBPlayer
38551,UCBPlayer,120,315,435,25,30,UCBPlayer
38552,UCBPlayer,119,154,273,10,79,UCBPlayer
38553,UCBPlayer,112,332,444,25,27,UCBPlayer
38554,UCBPlayer,127,137,264,10,82,UCBPlayer
38555,UCBPlayer,104,349,453,25,24,UCBPlayer
38556,UCBPlayer,126,126,252,7,85,Tie
38557,UCBPlayer,111,351,462,28,22,UCBPlayer
38558,UCBPlayer,116,126,242,3,87,UCBPlayer
38559,UCBPlayer,122,347,469,32,21,UCBPlayer
38560,UCBPlayer,107,132,239,0,87,UCBPlayer
38561,UCBPlayer,132,337,469,35,22,UCBPlayer
38562,UCBPlayer,103,148,251,0,83,UCBPlayer
38563,UCBPlayer,136,321,457,35,26,UCBPlayer
38564,UCBPlayer,99,164,263,0,79,UCBPlayer
38565,UCBPlayer,140,305,445,35,30,UCBPlayer
38566,UCBPlayer,95,180,275,0,75,UCBPlayer
38567,UCBPlayer,144,289,433,35,34,UCBPlayer
38568,UCBPlayer,91,196,287,0,71,UCBPlayer
38569,UCBPlayer,148,273,421,35,38,UCBPlayer
38570,UCBPlayer,87,212,299,0,67,UCBPlayer
38571,UCBPlayer,152,257,409,35,42,UCBPlayer
38572,UCBPlayer,84,224,308,0,64,UCBPlayer
38573,UCBPlayer,146,251,397,32,45,UCBPlayer
38574,UCBPlayer,89,234,323,3,60,UCBPlayer
38575,UCBPlayer,138,243,381,28,49,UCBPlayer
38576,UCBPlayer,97,242,339,7,56,UCBPlayer
38577,UCBPlayer,130,235,365,24,53,UCBPlayer
38578,UCBPlayer,105,250,355,11,52,UCBPlayer
38579,UCBPlayer,122,227,349,20,57,UCBPlayer
38580,UCBPlayer,109,259,368,15,49,UCBPlayer
38581,UCBPlayer,118,218,336,16,60,UCBPlayer
38582,UCBPlayer,117,267,384,19,45,UCBPlayer
38583,UCBPlayer,110,210,320,12,64,UCBPlayer
38584,UCBPlayer,126,271,397,23,42,UCBPlayer
38585,UCBPlayer,105,210,315,10,65,UCBPlayer
38586,UCBPlayer,130,275,405,25,40,UCBPlayer
38587,UCBPlayer,105,210,315,10,65,UCBPlayer
38588,UCBPlayer,130,275,405,25,40,UCBPlayer
38589,UCBPlayer,106,206,312,10,66,UCBPlayer
38590,UCBPlayer,130,275,405,25,40,UCBPlayer
38591,UCBPlayer,105,210,315,10,65,UCBPlayer
38592,UCBPlayer,131,271,402,25,41,UCBPlayer
38593,UCBPlayer,105,210,315,10,65,UCBPlayer
38594,UCBPlayer,130,275,405,25,40,UCBPlayer
38595,UCBPlayer,105,210,315,10,65,UCBPlayer
38596,UCBPlayer,130,275,405,25,40,UCBPlayer
38597,UCBPlayer,103,203,306,10,68,UCBPlayer
38598,UCBPlayer,128,283,411,25,38,UCBPlayer
38599,UCBPlayer,111,186,297,10,71,UCBPlayer
38600,UCBPlayer,124,299,423,25,34,UCBPlayer
38601,UCBPlayer,115,170,285,10,75,UCBPlayer
38602,UCBPlayer,120,315,435,25,30,UCBPlayer
38603,UCBPlayer,119,154,273,10,79,UCBPlayer
38604,UCBPlayer,112,332,444,25,27,UCBPlayer
38605,UCBPlayer,127,137,264,10,82,UCBPlayer
38606,UCBPlayer,104,349,453,25,24,UCBPlayer
38607,UCBPlayer,126,126,252,7,85,Tie
38608,UCBPlayer,111,351,462,28,22,UCBPlayer
38609,UCBPlayer,116,126,242,3,87,UCBPlayer
38610,UCBPlayer,122,347,469,32,21,UCBPlayer
38611,UCBPlayer,107,132,239,0,87,UCBPlayer
38612,UCBPlayer,132,337,469,35,22,UCBPlayer
